Longitude,Latitude,Label
-5.470861,35.917111,Tangier Mediterranean
-68.321528,44.272972,Southwest Harbor
0.969944,51.84875,Colchester
-122.289222,37.764556,Alameda
9.769139,55.558333,Fredericia
36.5,-18.566667,Chinde
-12.3,-37.05,Edinburgh
-53.733333,67.95,Attu
-122.783333,48.083333,Glen Cove
-76.533333,21.283333,Puerto Padre
3.066667,36.766667,Alger
-5.129167,55.525833,Lamlash Harbor
98.677083,3.788306,Belawan
122.733333,-4.85,Raha Roadstead
24.491611,58.387861,Parnu
134.633333,34.766667,Hirohata
-79.916667,32.783333,Charleston
108.216667,16.1,Da Nang
-55.333333,49.15,Botwood Harbor
18.335778,57.669139,Visby
79.827028,10.817472,Nagappattinam
-70.416667,-23.65,Antofagasta
17.862361,68.864972,Sjovegan
-66.983333,44.9,Eastport
26.133333,35.216667,Sitia
-13.433333,27.083333,Laayoune
-8.266667,51.85,Cork
50.033333,26.933333,Ju Aymah Oil Terminal
-146.4,61.083333,Swanport
16.421611,54.464583,Darlowo
52.416667,25.683333,Jazirat Halul
-162.717056,55.215972,Cold Bay
1.630778,50.204139,Saint Valery Sur Somme
143.55,52.7,Vitaz Marine Terminal
33.116667,29.033333,Ras Abu Zanimah
12.672472,56.065833,Helsingborg
-68.383333,12.216667,Goto Oil Terminal
24.064778,57.044583,Riga
122.121222,37.501611,Weihai
-75.591278,20.743333,Felton
22.066667,60.283333,Pargas
-61.486222,10.37325,Point Lisas Port
-61.007556,14.020917,Castries
-18.908278,66.13875,Siglufjorhurd
-122.895167,48.450361,Richardson
117.833333,38.966667,Tianjin Xin Gang
-72.366667,41.1,Greenport
-121.883333,36.616667,Monterey
-61.233333,13.15,Kingstown
-40.333333,-20.316667,Vitoria
-70.235444,11.635833,Punta Cardon
122.085806,13.49125,Santa Cruz (Marinduque Isl)
103.954583,10.236639,Duong Dong
15.25,38.216667,Milazzo
150.533333,-5.133333,Kimbe
-2.890056,53.335361,Garlston
-124.066667,44.8,Depoe Bay
-162.583333,66.916667,Kotzebue
-5.433333,36.133333,Algeciras
-77.75,-10.8,Puerto Supe
-122.892876,47.049099,Olympia
-73.095861,40.958722,Port Jefferson
48.4575,29.996278,Khosrowabad
-82.616667,27.766667,St Petersburg
-152.583333,58.483333,Port William
29.776639,59.93125,Lomonosov
-5.035,51.694556,Milford Haven
-135.45,59.283333,Tanani Point
-3.056722,51.177056,Bridgwater
166.65,-77.85,Mcmurdo Station
-64.85,10.1,Jose Terminal
